,,,SE,,,,,DB,,,,,Silhoutte,,
number of cluster,Fix point ratio,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2,,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2,,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2
4,100.00%,106.1135026,103.7956494,162.606546,162.606546,,0.854006362,0.791984422,0.999029615,0.999029615,,0.391973873,0.400040091,0.347595432,0.347595432
5,75.00%,84.96961669,81.8827304,135.7494194,138.581792,,0.799488537,0.745605285,0.893818033,0.957794763,,0.415134095,0.425878704,0.334569859,0.309847453
7,60.00%,54.39016744,54.78646224,92.55549603,97.58235187,,0.717410392,0.715508592,0.794418504,0.868853017,,0.428511318,0.443191921,0.336921415,0.285348303
8,50.00%,48.78339068,46.62908659,82.18803564,78.79505107,,0.740863422,0.714640801,0.767605021,0.842270832,,0.407933854,0.438320805,0.3295305,0.282414373
9,43.00%,45.40831254,40.49455913,63.28819367,66.48678951,,0.762293788,0.712826258,0.763475751,0.839187432,,0.387166695,0.433962766,0.313981504,0.279486906
11,38.00%,38.62108226,32.04120706,47.7742485,44.31597242,,0.791083345,0.704633304,0.762953863,0.77212414,,0.377032859,0.41727573,0.305248695,0.302220411
12,33.00%,34.7298777,29.37241575,41.72630267,38.32641596,,0.787378481,0.721904906,0.782228311,0.779263354,,0.370687493,0.411504274,0.299363609,0.309061047
13,30.00%,31.40919623,27.52396112,36.47129502,33.3753675,,0.78545081,0.728926853,0.770488381,0.755042888,,0.365451579,0.406250302,0.308578178,0.316210324
20,20.00%,20.95064939,17.63508886,21.10295962,20.33799869,,0.780577299,0.758979737,0.758092106,0.775725293,,0.384809581,0.393116868,0.335438262,0.342285708
27,15.00%,17.7799829,12.81137176,15.96482463,14.09363254,,0.766081648,0.756949852,0.800055881,0.78965428,,0.380889407,0.399733371,0.337867198,0.360980434
67,6.00%,10.77554352,4.719710421,5.381770309,5.116836074,,0.805082083,0.780631321,0.811687718,0.806030036,,0.374046865,0.383035486,0.346006053,0.368295269
